D, B, 0, D, D, D, A, D, A, A, D, C, D, E, E, C, A, D, C, D, D, E, A, A, D, 0, B, D, C, B, D, B, C, 0, E, D, C, C, 0
D, D, C, D, 0, C, C, A, 0, 0, B, E, B, C, 0, 0, D, 0, 0, B, A, C, 0, A, A, D, A, 0, 0, E, B, D, B, A, 0, B, 0, D, 0
B, A, A, 0, C, E, E, A, D, A, 0, B, D, 0, 0, E, D, E, B, 0, D, B, E, B, E, E, C, B, 0, 0, C, E, D, D, D, A, 0, A, A
0, E, D, 0, A, 0, D, B, 0, A, C, C, E, E, E, B, A, B, 0, B, E, A, B, B, 0, 0, 0, D, C, C, B, A, C, 0, C, A, B, 0, A
E, 0, C, D, B, 0, C, D, A, E, 0, B, 0, E, C, D, C, A, D, E, 0, B, 0, C, A, 0, B, E, B, B, E, A, 0, D, A, C, A, C, A
0, 0, C, 0, D, 0, B, A, C, 0, B, E, 0, D, B, D, A, E, B, A, C, C, E, A, D, E, B, 0, D, 0, D, C, B, 0, A, C, 0, C, 0
A, B, B, 0, B, 0, B, 0, B, E, C, A, D, E, B, E, D, 0, 0, D, A, E, C, D, 0, A, 0, D, 0, 0, D, D, 0, 0, 0, 0, B, A, B
A, E, B, D, C, A, D, C, B, A, A, 0, D, 0, B, C, A, 0, C, D, A, E, B, B, E, E, 0, A, B, B, B, E, 0, 0, C, E, D, D, E
0, 0, B, E, C, E, D, B, A, A, B, A, C, 0, A, A, D, D, C, E, D, C, D, A, A, E, 0, A, D, C, E, C, A, E, A, E, 0, D, D
0, B, B, A, B, E, 0, A, A, C, D, A, A, A, E, D, C, A, E, D, B, 0, C, 0, A, E, E, D, 0, C, B, A, D, E, D, B, E, C, 0
A, 0, A, A, B, D, C, D, B, 0, A, 0, C, C, 0, B, D, A, C, 0, A, A, A, 0, D, E, B, A, B, E, D, A, C, C, C, C, D, E, A
0, D, E, C, 0, D, E, 0, 0, A, E, A, 0, B, D, D, A, B, 0, 0, 0, D, D, A, B, 0, D, B, D, B, B, A, 0, E, 0, C, E, A, A
B, C, D, 0, B, 0, 0, 0, A, 0, B, E, C, E, E, C, B, 0, A, 0, 0, E, A, 0, E, B, 0, 0, 0, D, 0, D, 0, A, C, 0, 0, E, 0
E, E, 0, E, A, A, A, B, 0, A, 0, D, C, A, B, C, E, E, D, A, 0, E, 0, C, E, B, C, D, 0, E, E, E, C, C, A, A, A, A, D
C, D, A, D, C, D, A, D, D, E, 0, 0, C, 0, 0, D, B, B, D, B, 0, D, E, 0, 0, 0, E, 0, B, E, E, A, C, D, D, D, 0, 0, 0
D, A, A, C, A, 0, E, A, B, 0, B, 0, 0, C, 0, D, 0, 0, 0, C, D, B, A, C, E, E, E, 0, 0, E, D, D, C, B, A, A, D, A, 0
0, C, A, 0, B, D, 0, C, B, A, 0, C, C, E, B, E, E, D, A, B, E, E, D, A, E, E, E, 0, E, C, C, D, C, C, D, C, 0, D, D
0, A, 0, E, 0, C, 0, 0, E, E, B, B, C, C, 0, C, E, E, 0, B, D, B, C, E, 0, 0, D, A, C, C, 0, E, E, 0, A, 0, 0, D, C
E, 0, 0, 0, B, E, 0, 0, A, 0, C, B, B, A, C, 0, 0, C, B, B, 0, B, E, D, E, E, 0, D, C, 0, B, E, 0, C, 0, E, 0, D, E
D, A, A, C, A, B, A, D, D, A, 0, C, 0, E, E, E, E, A, E, A, D, A, B, E, C, B, C, A, D, D, A, B, E, 0, E, B, E, 0, 0

B, C, B, E, B, D, D, E, D, 0, D, 0, 0, 0, 0, B, D, C, D, C, 0, D, C, E, B, A, E, D, 0, C, E, B, A, A, D, 0, 0, B, 0
C, E, 0, B, C, D, D, D, E, A, D, A, E, E, 0, A, C, A, D, D, C, A, D, 0, C, D, C, C, C, C, E, B, E, 0, A, 0, 0, B, D
B, D, C, C, C, C, C, E, 0, B, A, B, C, 0, 0, A, A, C, B, 0, E, E, D, B, E, E, B, D, C, E, 0, 0, A, B, 0, C, C, A, D
D, C, B, B, E, 0, E, 0, 0, D, B, C, 0, 0, C, C, B, 0, D, B, C, A, E, E, A, A, D, D, B, B, E, D, 0, C, A, A, D, 0, 0
0, C, 0, C, A, 0, A, B, D, 0, C, B, B, 0, E, C, A, C, B, A, C, 0, E, B, E, E, D, E, D, B, D, E, B, A, D, 0, 0, 0, C
